Amount,Payment_Method,Bank,Previous_Failures,Attempt_Number,Error,Original_Status,Risk_Percentage,Risk_Level,Recovery_Action
18321,UPI,Bank_D,0,1,NETWORK_ERROR,FAILED,54.48,MEDIUM,Retry after a short delay or use another payment method.
13664,UPI,Bank_A,0,1,NETWORK_ERROR,FAILED,47.15,MEDIUM,Retry after a short delay or use another payment method.
2850,CARD,Bank_C,0,1,NONE,SUCCESS,22.44,LOW,Continue payment normally.
7484,NET_BANKING,Bank_D,1,2,BANK_ERROR,FAILED,72.12,HIGH,Try another bank or payment method.
16792,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,15.08,LOW,Continue payment normally.
653,CARD,Bank_A,0,1,NONE,SUCCESS,14.53,LOW,Continue payment normally.
14432,CARD,Bank_A,0,1,CARD_DECLINED,FAILED,40.12,MEDIUM,Try UPI or Net Banking instead of the card.
1475,CARD,Bank_D,1,2,NONE,FAILED,47.23,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
13053,UPI,Bank_D,2,3,NETWORK_ERROR,FAILED,90.05,HIGH,Retry after a short delay or use another payment method.
1051,CARD,Bank_D,2,3,NONE,FAILED,66.43,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
18173,CARD,Bank_C,0,1,NONE,FAILED,24.87,LOW,Continue payment normally.
4244,NET_BANKING,Bank_A,0,1,AUTH_ERROR,FAILED,41.62,MEDIUM,Complete authentication and retry the payment.
7617,UPI,Bank_B,0,1,NETWORK_ERROR,SUCCESS,32.85,MEDIUM,Retry after a short delay or use another payment method.
6404,UPI,Bank_A,0,1,NONE,SUCCESS,12.21,LOW,Continue payment normally.
1758,UPI,Bank_B,0,1,NONE,SUCCESS,13.21,LOW,Continue payment normally.
10494,CARD,Bank_C,2,3,AUTH_ERROR,FAILED,92.34,HIGH,Complete authentication and retry the payment.
14881,UPI,Bank_A,1,2,BANK_ERROR,FAILED,71.65,HIGH,Try another bank or payment method.
17521,CARD,Bank_D,0,1,NONE,FAILED,23.31,LOW,Continue payment normally.
8595,CARD,Bank_B,0,1,NONE,SUCCESS,17.75,LOW,Continue payment normally.
8888,CARD,Bank_C,0,1,NETWORK_ERROR,FAILED,62.46,MEDIUM,Retry after a short delay or use another payment method.
17720,CARD,Bank_A,2,3,AUTH_ERROR,FAILED,89.67,HIGH,Complete authentication and retry the payment.
16936,UPI,Bank_A,2,3,NONE,FAILED,57.01,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
7327,UPI,Bank_D,3,4,BANK_ERROR,FAILED,95.56,HIGH,Try another bank or payment method.
4238,UPI,Bank_D,0,1,NONE,SUCCESS,17.47,LOW,Continue payment normally.
12821,UPI,Bank_B,0,1,BANK_ERROR,SUCCESS,37.68,MEDIUM,Try another bank or payment method.
17789,NET_BANKING,Bank_B,1,2,NONE,SUCCESS,38.34,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
2296,NET_BANKING,Bank_A,0,1,NONE,FAILED,16.34,LOW,Continue payment normally.
17517,UPI,Bank_A,1,2,BANK_ERROR,FAILED,68.0,MEDIUM,Try another bank or payment method.
1968,UPI,Bank_C,0,1,NONE,FAILED,17.05,LOW,Continue payment normally.
9845,NET_BANKING,Bank_B,0,1,AUTH_ERROR,FAILED,45.3,MEDIUM,Complete authentication and retry the payment.
1834,UPI,Bank_C,1,2,AUTH_ERROR,FAILED,72.9,HIGH,Complete authentication and retry the payment.
791,UPI,Bank_D,0,1,NONE,SUCCESS,19.68,LOW,Continue payment normally.
18849,UPI,Bank_B,3,4,AUTH_ERROR,FAILED,94.93,HIGH,Complete authentication and retry the payment.
3371,UPI,Bank_C,1,2,AUTH_ERROR,FAILED,77.34,HIGH,Complete authentication and retry the payment.
3987,NET_BANKING,Bank_D,0,1,NONE,SUCCESS,22.61,LOW,Continue payment normally.
16974,CARD,Bank_D,0,1,NETWORK_ERROR,FAILED,49.06,MEDIUM,Retry after a short delay or use another payment method.
14612,UPI,Bank_C,0,1,NETWORK_ERROR,FAILED,58.79,MEDIUM,Retry after a short delay or use another payment method.
15507,UPI,Bank_C,1,2,BANK_ERROR,FAILED,76.69,HIGH,Try another bank or payment method.
18326,NET_BANKING,Bank_C,1,2,AUTH_ERROR,FAILED,82.13,HIGH,Complete authentication and retry the payment.
8220,UPI,Bank_A,1,2,NONE,SUCCESS,30.84,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
13613,NET_BANKING,Bank_A,0,1,NONE,FAILED,14.41,LOW,Continue payment normally.
11123,UPI,Bank_B,0,1,NETWORK_ERROR,SUCCESS,39.19,MEDIUM,Retry after a short delay or use another payment method.
12818,CARD,Bank_D,0,1,NONE,SUCCESS,19.48,LOW,Continue payment normally.
13948,NET_BANKING,Bank_A,2,3,BANK_ERROR,FAILED,87.34,HIGH,Try another bank or payment method.
14422,UPI,Bank_A,1,2,AUTH_ERROR,SUCCESS,66.69,MEDIUM,Complete authentication and retry the payment.
19399,UPI,Bank_C,1,2,NETWORK_ERROR,SUCCESS,77.86,HIGH,Retry after a short delay or use another payment method.
4822,NET_BANKING,Bank_C,0,1,NONE,SUCCESS,19.11,LOW,Continue payment normally.
1619,UPI,Bank_D,1,2,NONE,FAILED,37.7,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
6673,UPI,Bank_C,0,1,NONE,SUCCESS,18.08,LOW,Continue payment normally.
18195,CARD,Bank_A,0,1,NONE,SUCCESS,21.97,LOW,Continue payment normally.
1789,UPI,Bank_A,0,1,NONE,SUCCESS,13.72,LOW,Continue payment normally.
15654,UPI,Bank_D,1,2,BANK_ERROR,FAILED,73.81,HIGH,Try another bank or payment method.
12212,CARD,Bank_B,1,2,CARD_DECLINED,SUCCESS,73.18,HIGH,Try UPI or Net Banking instead of the card.
12957,CARD,Bank_B,2,3,CARD_DECLINED,FAILED,87.4,HIGH,Try UPI or Net Banking instead of the card.
12121,UPI,Bank_C,0,1,NONE,SUCCESS,20.55,LOW,Continue payment normally.
15728,UPI,Bank_C,0,1,NONE,SUCCESS,18.74,LOW,Continue payment normally.
11820,UPI,Bank_C,1,2,NETWORK_ERROR,SUCCESS,79.29,HIGH,Retry after a short delay or use another payment method.
7449,UPI,Bank_A,0,1,NONE,SUCCESS,14.72,LOW,Continue payment normally.
2771,CARD,Bank_B,0,1,NONE,SUCCESS,16.79,LOW,Continue payment normally.
18757,CARD,Bank_B,2,3,CARD_DECLINED,FAILED,87.3,HIGH,Try UPI or Net Banking instead of the card.
18642,UPI,Bank_B,1,2,NONE,FAILED,37.93,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
11194,CARD,Bank_A,0,1,NONE,FAILED,20.61,LOW,Continue payment normally.
10573,CARD,Bank_A,1,2,CARD_DECLINED,FAILED,65.7,MEDIUM,Try UPI or Net Banking instead of the card.
13511,CARD,Bank_A,0,1,NONE,SUCCESS,15.06,LOW,Continue payment normally.
18251,CARD,Bank_C,0,1,NONE,FAILED,25.16,LOW,Continue payment normally.
14631,CARD,Bank_C,0,1,CARD_DECLINED,SUCCESS,58.9,MEDIUM,Try UPI or Net Banking instead of the card.
13678,UPI,Bank_D,2,3,BANK_ERROR,FAILED,88.72,HIGH,Try another bank or payment method.
5167,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,14.33,LOW,Continue payment normally.
7414,UPI,Bank_A,0,1,NONE,SUCCESS,12.0,LOW,Continue payment normally.
2455,UPI,Bank_A,1,2,NETWORK_ERROR,FAILED,67.39,MEDIUM,Retry after a short delay or use another payment method.
3178,UPI,Bank_A,0,1,NONE,SUCCESS,11.18,LOW,Continue payment normally.
11680,CARD,Bank_B,1,2,CARD_DECLINED,FAILED,63.98,MEDIUM,Try UPI or Net Banking instead of the card.
11985,CARD,Bank_B,2,3,CARD_DECLINED,FAILED,87.79,HIGH,Try UPI or Net Banking instead of the card.
5897,CARD,Bank_A,1,2,CARD_DECLINED,SUCCESS,69.34,MEDIUM,Try UPI or Net Banking instead of the card.
19128,CARD,Bank_A,0,1,NONE,SUCCESS,15.29,LOW,Continue payment normally.
18832,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,16.64,LOW,Continue payment normally.
12682,CARD,Bank_A,0,1,NONE,SUCCESS,18.64,LOW,Continue payment normally.
13740,UPI,Bank_B,1,2,NONE,SUCCESS,36.96,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
19943,CARD,Bank_D,2,3,AUTH_ERROR,FAILED,90.65,HIGH,Complete authentication and retry the payment.
2575,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,13.83,LOW,Continue payment normally.
13800,UPI,Bank_B,0,1,NONE,SUCCESS,15.33,LOW,Continue payment normally.
12170,CARD,Bank_B,0,1,NONE,SUCCESS,15.3,LOW,Continue payment normally.
11122,NET_BANKING,Bank_D,0,1,NETWORK_ERROR,FAILED,49.12,MEDIUM,Retry after a short delay or use another payment method.
13899,UPI,Bank_D,1,2,NONE,SUCCESS,36.28,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
1727,CARD,Bank_C,0,1,NONE,FAILED,25.36,LOW,Continue payment normally.
7933,CARD,Bank_C,1,2,NONE,FAILED,48.71,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
3186,CARD,Bank_D,0,1,NONE,FAILED,17.52,LOW,Continue payment normally.
6715,UPI,Bank_B,0,1,NETWORK_ERROR,SUCCESS,37.62,MEDIUM,Retry after a short delay or use another payment method.
15067,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,15.46,LOW,Continue payment normally.
15620,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,15.77,LOW,Continue payment normally.
702,UPI,Bank_A,0,1,NONE,SUCCESS,13.77,LOW,Continue payment normally.
8453,UPI,Bank_D,3,4,BANK_ERROR,FAILED,96.4,HIGH,Try another bank or payment method.
1158,CARD,Bank_D,2,3,AUTH_ERROR,FAILED,90.9,HIGH,Complete authentication and retry the payment.
5466,UPI,Bank_C,3,4,BANK_ERROR,FAILED,96.49,HIGH,Try another bank or payment method.
19814,UPI,Bank_B,1,2,NONE,SUCCESS,34.27,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
18088,UPI,Bank_B,0,1,NONE,SUCCESS,16.42,LOW,Continue payment normally.
19980,CARD,Bank_A,3,4,CARD_DECLINED,FAILED,95.67,HIGH,Try UPI or Net Banking instead of the card.
4746,UPI,Bank_A,1,2,NONE,SUCCESS,33.75,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
12863,UPI,Bank_A,0,1,NONE,SUCCESS,13.6,LOW,Continue payment normally.
9967,UPI,Bank_A,0,1,NONE,SUCCESS,11.83,LOW,Continue payment normally.
16703,CARD,Bank_C,0,1,NONE,FAILED,22.84,LOW,Continue payment normally.
1339,CARD,Bank_A,3,4,CARD_DECLINED,FAILED,93.45,HIGH,Try UPI or Net Banking instead of the card.
14529,UPI,Bank_A,0,1,NONE,SUCCESS,15.2,LOW,Continue payment normally.
11302,CARD,Bank_A,0,1,NONE,FAILED,14.52,LOW,Continue payment normally.
11284,CARD,Bank_D,2,3,CARD_DECLINED,FAILED,91.36,HIGH,Try UPI or Net Banking instead of the card.
3775,UPI,Bank_C,0,1,NETWORK_ERROR,SUCCESS,45.11,MEDIUM,Retry after a short delay or use another payment method.
770,CARD,Bank_A,0,1,NONE,SUCCESS,14.17,LOW,Continue payment normally.
4085,CARD,Bank_C,0,1,NONE,SUCCESS,25.27,LOW,Continue payment normally.
1982,UPI,Bank_B,1,2,NONE,SUCCESS,26.87,LOW,Continue payment normally.
13150,NET_BANKING,Bank_B,2,3,NONE,FAILED,67.39,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
429,UPI,Bank_C,0,1,NONE,SUCCESS,18.16,LOW,Continue payment normally.
2885,UPI,Bank_B,0,1,NONE,SUCCESS,11.49,LOW,Continue payment normally.
11441,CARD,Bank_C,1,2,NONE,FAILED,49.74,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
7092,UPI,Bank_A,0,1,NONE,SUCCESS,14.1,LOW,Continue payment normally.
3144,NET_BANKING,Bank_A,1,2,NONE,FAILED,31.83,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
8215,CARD,Bank_B,0,1,NETWORK_ERROR,FAILED,39.94,MEDIUM,Retry after a short delay or use another payment method.
4964,CARD,Bank_A,0,1,NONE,SUCCESS,15.39,LOW,Continue payment normally.
19777,UPI,Bank_B,1,2,NONE,SUCCESS,31.86,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
10395,UPI,Bank_B,0,1,NONE,SUCCESS,16.04,LOW,Continue payment normally.
7793,UPI,Bank_B,0,1,NONE,SUCCESS,13.86,LOW,Continue payment normally.
279,UPI,Bank_C,1,2,BANK_ERROR,FAILED,70.45,HIGH,Try another bank or payment method.
4666,UPI,Bank_A,1,2,NONE,SUCCESS,32.0,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
15939,UPI,Bank_A,3,4,NETWORK_ERROR,FAILED,94.57,HIGH,Retry after a short delay or use another payment method.
6399,UPI,Bank_A,0,1,NONE,SUCCESS,13.99,LOW,Continue payment normally.
13865,CARD,Bank_B,0,1,AUTH_ERROR,SUCCESS,48.94,MEDIUM,Complete authentication and retry the payment.
16233,NET_BANKING,Bank_C,0,1,NONE,FAILED,25.19,LOW,Continue payment normally.
19658,UPI,Bank_C,1,2,NONE,SUCCESS,47.83,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
11076,UPI,Bank_D,0,1,NONE,SUCCESS,19.86,LOW,Continue payment normally.
3176,CARD,Bank_D,1,2,CARD_DECLINED,SUCCESS,69.43,MEDIUM,Try UPI or Net Banking instead of the card.
11872,UPI,Bank_C,3,4,BANK_ERROR,FAILED,95.97,HIGH,Try another bank or payment method.
15555,NET_BANKING,Bank_B,0,1,BANK_ERROR,SUCCESS,43.62,MEDIUM,Try another bank or payment method.
2694,NET_BANKING,Bank_A,2,3,NETWORK_ERROR,FAILED,86.99,HIGH,Retry after a short delay or use another payment method.
17689,UPI,Bank_A,0,1,NONE,FAILED,12.13,LOW,Continue payment normally.
9440,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,14.23,LOW,Continue payment normally.
7612,CARD,Bank_C,1,2,NONE,SUCCESS,48.25,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
541,UPI,Bank_A,0,1,NONE,SUCCESS,13.92,LOW,Continue payment normally.
5071,UPI,Bank_B,0,1,NONE,SUCCESS,14.06,LOW,Continue payment normally.
16197,CARD,Bank_A,0,1,NONE,SUCCESS,21.57,LOW,Continue payment normally.
17438,UPI,Bank_C,1,2,NETWORK_ERROR,FAILED,81.3,HIGH,Retry after a short delay or use another payment method.
13736,UPI,Bank_C,0,1,NONE,FAILED,23.29,LOW,Continue payment normally.
11730,UPI,Bank_B,1,2,NETWORK_ERROR,SUCCESS,63.92,MEDIUM,Retry after a short delay or use another payment method.
11699,UPI,Bank_D,0,1,NONE,SUCCESS,15.85,LOW,Continue payment normally.
19897,UPI,Bank_C,0,1,NONE,SUCCESS,19.74,LOW,Continue payment normally.
17099,CARD,Bank_C,0,1,NONE,FAILED,24.92,LOW,Continue payment normally.
17613,UPI,Bank_A,1,2,BANK_ERROR,SUCCESS,65.23,MEDIUM,Try another bank or payment method.
16906,UPI,Bank_C,1,2,NONE,SUCCESS,46.63,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
2630,CARD,Bank_B,2,3,CARD_DECLINED,FAILED,83.59,HIGH,Try UPI or Net Banking instead of the card.
2351,CARD,Bank_A,1,2,CARD_DECLINED,SUCCESS,67.77,MEDIUM,Try UPI or Net Banking instead of the card.
12250,UPI,Bank_A,0,1,NONE,SUCCESS,12.62,LOW,Continue payment normally.
9132,CARD,Bank_B,0,1,NONE,FAILED,15.45,LOW,Continue payment normally.
7850,UPI,Bank_D,0,1,NONE,SUCCESS,15.65,LOW,Continue payment normally.
7027,CARD,Bank_C,0,1,NONE,SUCCESS,23.61,LOW,Continue payment normally.
1707,UPI,Bank_A,1,2,NONE,FAILED,31.59,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
6351,UPI,Bank_A,1,2,NONE,SUCCESS,27.81,LOW,Continue payment normally.
12678,NET_BANKING,Bank_C,1,2,NETWORK_ERROR,SUCCESS,82.04,HIGH,Retry after a short delay or use another payment method.
213,UPI,Bank_B,0,1,NONE,SUCCESS,13.19,LOW,Continue payment normally.
15049,NET_BANKING,Bank_D,2,3,NONE,FAILED,71.5,HIGH,"Continue payment, but offer an alternate payment method if it fails."
8500,UPI,Bank_B,2,3,BANK_ERROR,FAILED,85.38,HIGH,Try another bank or payment method.
2057,CARD,Bank_A,0,1,NETWORK_ERROR,FAILED,43.01,MEDIUM,Retry after a short delay or use another payment method.
3785,UPI,Bank_B,0,1,NONE,SUCCESS,11.45,LOW,Continue payment normally.
8517,UPI,Bank_A,0,1,NONE,SUCCESS,12.82,LOW,Continue payment normally.
1561,CARD,Bank_A,0,1,NONE,SUCCESS,15.26,LOW,Continue payment normally.
2590,UPI,Bank_B,0,1,NETWORK_ERROR,FAILED,43.23,MEDIUM,Retry after a short delay or use another payment method.
5961,UPI,Bank_C,0,1,NONE,FAILED,19.14,LOW,Continue payment normally.
8196,UPI,Bank_C,0,1,NONE,FAILED,18.35,LOW,Continue payment normally.
12095,UPI,Bank_A,0,1,NONE,SUCCESS,13.13,LOW,Continue payment normally.
12449,UPI,Bank_A,1,2,NONE,FAILED,36.53,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
1682,CARD,Bank_B,0,1,AUTH_ERROR,SUCCESS,45.37,MEDIUM,Complete authentication and retry the payment.
14163,CARD,Bank_A,0,1,NONE,SUCCESS,15.99,LOW,Continue payment normally.
8811,UPI,Bank_C,1,2,AUTH_ERROR,FAILED,76.52,HIGH,Complete authentication and retry the payment.
15468,UPI,Bank_C,0,1,BANK_ERROR,FAILED,57.38,MEDIUM,Try another bank or payment method.
8573,UPI,Bank_D,1,2,AUTH_ERROR,SUCCESS,71.03,HIGH,Complete authentication and retry the payment.
19172,UPI,Bank_A,0,1,NONE,SUCCESS,12.99,LOW,Continue payment normally.
6252,CARD,Bank_B,1,2,NETWORK_ERROR,FAILED,75.14,HIGH,Retry after a short delay or use another payment method.
17850,UPI,Bank_B,1,2,NONE,SUCCESS,31.68,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
8648,UPI,Bank_B,0,1,NONE,SUCCESS,16.41,LOW,Continue payment normally.
10986,CARD,Bank_B,0,1,NONE,SUCCESS,17.95,LOW,Continue payment normally.
13245,UPI,Bank_D,0,1,NONE,SUCCESS,19.27,LOW,Continue payment normally.
4846,CARD,Bank_D,0,1,NONE,FAILED,21.01,LOW,Continue payment normally.
12157,UPI,Bank_C,0,1,NONE,FAILED,25.85,LOW,Continue payment normally.
13025,NET_BANKING,Bank_D,0,1,BANK_ERROR,FAILED,53.45,MEDIUM,Try another bank or payment method.
2665,UPI,Bank_B,0,1,NONE,SUCCESS,12.98,LOW,Continue payment normally.
12369,UPI,Bank_B,1,2,NONE,SUCCESS,35.88,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
11625,NET_BANKING,Bank_D,1,2,BANK_ERROR,FAILED,73.42,HIGH,Try another bank or payment method.
6821,UPI,Bank_B,2,3,BANK_ERROR,FAILED,86.1,HIGH,Try another bank or payment method.
10673,UPI,Bank_C,0,1,NETWORK_ERROR,SUCCESS,47.51,MEDIUM,Retry after a short delay or use another payment method.
3962,NET_BANKING,Bank_C,2,3,BANK_ERROR,FAILED,89.39,HIGH,Try another bank or payment method.
1752,UPI,Bank_A,0,1,NONE,SUCCESS,13.71,LOW,Continue payment normally.
12302,UPI,Bank_D,3,4,NETWORK_ERROR,FAILED,95.64,HIGH,Retry after a short delay or use another payment method.
18742,CARD,Bank_C,0,1,NONE,SUCCESS,25.56,LOW,Continue payment normally.
4469,UPI,Bank_A,0,1,NONE,SUCCESS,12.65,LOW,Continue payment normally.
18363,CARD,Bank_A,1,2,NONE,FAILED,37.79,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
6954,CARD,Bank_C,0,1,NONE,SUCCESS,21.94,LOW,Continue payment normally.
3144,CARD,Bank_C,1,2,NONE,SUCCESS,47.34,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
5509,NET_BANKING,Bank_A,2,3,BANK_ERROR,FAILED,83.57,HIGH,Try another bank or payment method.
1774,UPI,Bank_C,3,4,BANK_ERROR,FAILED,96.34,HIGH,Try another bank or payment method.
10357,CARD,Bank_C,0,1,NONE,SUCCESS,25.78,LOW,Continue payment normally.
10381,UPI,Bank_A,0,1,NONE,SUCCESS,14.78,LOW,Continue payment normally.
11794,CARD,Bank_A,1,2,NONE,SUCCESS,34.21,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
1974,UPI,Bank_B,0,1,BANK_ERROR,SUCCESS,34.71,MEDIUM,Try another bank or payment method.
17751,UPI,Bank_D,0,1,AUTH_ERROR,SUCCESS,47.7,MEDIUM,Complete authentication and retry the payment.
18379,NET_BANKING,Bank_A,0,1,BANK_ERROR,SUCCESS,45.53,MEDIUM,Try another bank or payment method.
15904,NET_BANKING,Bank_A,1,2,NETWORK_ERROR,FAILED,74.99,HIGH,Retry after a short delay or use another payment method.
3278,NET_BANKING,Bank_C,2,3,BANK_ERROR,FAILED,90.73,HIGH,Try another bank or payment method.
5830,UPI,Bank_D,1,2,BANK_ERROR,FAILED,72.45,HIGH,Try another bank or payment method.
10408,UPI,Bank_B,0,1,NONE,SUCCESS,13.85,LOW,Continue payment normally.
17316,CARD,Bank_C,0,1,AUTH_ERROR,FAILED,61.54,MEDIUM,Complete authentication and retry the payment.
18389,UPI,Bank_C,0,1,NONE,SUCCESS,19.71,LOW,Continue payment normally.
1719,CARD,Bank_D,0,1,AUTH_ERROR,FAILED,48.91,MEDIUM,Complete authentication and retry the payment.
17244,CARD,Bank_A,0,1,NONE,SUCCESS,17.59,LOW,Continue payment normally.
5390,NET_BANKING,Bank_A,1,2,NETWORK_ERROR,SUCCESS,72.6,HIGH,Retry after a short delay or use another payment method.
18552,UPI,Bank_D,0,1,NONE,SUCCESS,21.03,LOW,Continue payment normally.
11628,UPI,Bank_C,0,1,NONE,FAILED,21.23,LOW,Continue payment normally.
6674,UPI,Bank_A,0,1,NONE,SUCCESS,14.22,LOW,Continue payment normally.
5124,UPI,Bank_C,0,1,BANK_ERROR,SUCCESS,44.21,MEDIUM,Try another bank or payment method.
13961,CARD,Bank_C,0,1,AUTH_ERROR,SUCCESS,61.32,MEDIUM,Complete authentication and retry the payment.
12922,NET_BANKING,Bank_B,1,2,NONE,SUCCESS,35.9,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
4002,UPI,Bank_D,2,3,BANK_ERROR,FAILED,85.13,HIGH,Try another bank or payment method.
18119,NET_BANKING,Bank_B,1,2,NONE,FAILED,33.4,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
17438,CARD,Bank_D,0,1,CARD_DECLINED,FAILED,50.02,MEDIUM,Try UPI or Net Banking instead of the card.
8260,UPI,Bank_D,0,1,NONE,SUCCESS,19.33,LOW,Continue payment normally.
10177,CARD,Bank_C,0,1,NONE,FAILED,26.67,LOW,Continue payment normally.
9752,NET_BANKING,Bank_C,0,1,NETWORK_ERROR,SUCCESS,61.82,MEDIUM,Retry after a short delay or use another payment method.
7913,CARD,Bank_C,2,3,NETWORK_ERROR,FAILED,91.63,HIGH,Retry after a short delay or use another payment method.
8797,CARD,Bank_B,0,1,NONE,SUCCESS,15.01,LOW,Continue payment normally.
11274,UPI,Bank_A,0,1,NONE,SUCCESS,14.11,LOW,Continue payment normally.
7353,UPI,Bank_B,0,1,NONE,SUCCESS,14.56,LOW,Continue payment normally.
16013,NET_BANKING,Bank_D,0,1,NONE,FAILED,20.72,LOW,Continue payment normally.
13056,CARD,Bank_B,0,1,AUTH_ERROR,FAILED,51.48,MEDIUM,Complete authentication and retry the payment.
10463,UPI,Bank_A,0,1,NONE,SUCCESS,13.62,LOW,Continue payment normally.
17684,UPI,Bank_D,0,1,NONE,SUCCESS,18.62,LOW,Continue payment normally.
15594,UPI,Bank_A,2,3,NONE,FAILED,59.68,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
