transaction_id,amount,payment_method,bank,device,hour,previous_failures,attempt_number,error_code,customer_type,status
TX00154,3404,UPI,Bank_C,Android,3,3,4,NONE,RETURNING,FAILED
TX00155,18337,UPI,Bank_B,Desktop,6,0,1,NONE,RETURNING,SUCCESS
TX00156,13908,UPI,Bank_B,Android,6,0,1,NONE,NEW,SUCCESS
TX00157,6685,NET_BANKING,Bank_B,Android,14,0,1,NONE,RETURNING,FAILED
TX00158,17775,CARD,Bank_D,iOS,17,1,2,NONE,NEW,FAILED
TX00159,11749,CARD,Bank_D,Desktop,12,1,2,NONE,NEW,FAILED
TX00160,1736,NET_BANKING,Bank_D,Android,0,0,1,NONE,NEW,SUCCESS
TX00161,17182,NET_BANKING,Bank_D,Android,2,2,3,BANK_ERROR,NEW,FAILED
TX00162,4837,CARD,Bank_A,Desktop,1,0,1,NONE,RETURNING,SUCCESS
TX00163,14655,UPI,Bank_B,iOS,7,0,1,NONE,NEW,SUCCESS
TX00164,13977,CARD,Bank_D,Desktop,10,1,2,NONE,RETURNING,SUCCESS
TX00165,954,UPI,Bank_C,iOS,20,0,1,NONE,RETURNING,FAILED
TX00166,5955,NET_BANKING,Bank_B,Android,13,0,1,BANK_ERROR,NEW,FAILED
TX00167,7492,CARD,Bank_C,Android,22,0,1,NONE,RETURNING,SUCCESS
TX00168,14049,UPI,Bank_A,Android,11,0,1,NONE,RETURNING,SUCCESS
TX00169,18191,UPI,Bank_C,Android,0,0,1,NONE,NEW,SUCCESS
TX00170,5891,UPI,Bank_B,Android,5,0,1,NONE,NEW,SUCCESS
TX00171,5031,UPI,Bank_C,Android,3,0,1,NONE,RETURNING,SUCCESS
TX00172,19994,UPI,Bank_C,Android,16,0,1,NONE,RETURNING,FAILED
TX00173,302,UPI,Bank_D,Android,17,1,2,NONE,NEW,SUCCESS
TX00174,11547,UPI,Bank_A,iOS,16,0,1,BANK_ERROR,RETURNING,SUCCESS
TX00175,12788,CARD,Bank_C,Android,9,2,3,CARD_DECLINED,RETURNING,FAILED
TX00176,4489,UPI,Bank_C,iOS,4,0,1,NETWORK_ERROR,RETURNING,SUCCESS
TX00177,2427,UPI,Bank_C,Desktop,4,0,1,NONE,RETURNING,SUCCESS
TX00178,8104,UPI,Bank_B,Android,19,1,2,NONE,NEW,FAILED
TX00179,19415,NET_BANKING,Bank_D,Android,0,0,1,NONE,NEW,SUCCESS
TX00180,7877,UPI,Bank_B,Android,0,0,1,NONE,RETURNING,SUCCESS
TX00181,297,UPI,Bank_A,Android,15,2,3,AUTH_ERROR,NEW,FAILED
TX00182,2030,CARD,Bank_C,Android,13,1,2,CARD_DECLINED,RETURNING,SUCCESS
TX00183,11874,UPI,Bank_A,iOS,22,1,2,BANK_ERROR,NEW,SUCCESS
TX00184,15187,UPI,Bank_B,Android,9,2,3,BANK_ERROR,RETURNING,FAILED
TX00185,9439,UPI,Bank_A,Android,6,0,1,NONE,RETURNING,SUCCESS
TX00186,11689,CARD,Bank_B,Android,19,0,1,AUTH_ERROR,NEW,FAILED
TX00187,18995,CARD,Bank_B,Android,19,0,1,NONE,RETURNING,SUCCESS
TX00188,15808,CARD,Bank_A,Desktop,8,0,1,NONE,RETURNING,SUCCESS
TX00189,17143,UPI,Bank_C,Desktop,10,0,1,NETWORK_ERROR,NEW,SUCCESS
TX00190,2911,CARD,Bank_B,iOS,5,0,1,NONE,RETURNING,SUCCESS
TX00191,14343,UPI,Bank_B,iOS,10,0,1,NONE,NEW,SUCCESS
TX00192,6646,UPI,Bank_D,Android,13,0,1,NONE,RETURNING,SUCCESS
TX00193,2086,UPI,Bank_B,Android,17,0,1,NONE,NEW,SUCCESS
TX00194,8438,CARD,Bank_C,Android,0,0,1,NONE,RETURNING,SUCCESS
TX00195,11511,UPI,Bank_B,iOS,21,2,3,NETWORK_ERROR,NEW,FAILED
TX00196,3011,CARD,Bank_C,Android,11,0,1,NONE,RETURNING,SUCCESS
TX00197,1834,NET_BANKING,Bank_C,Android,0,1,2,NONE,RETURNING,SUCCESS
TX00198,18327,UPI,Bank_A,Desktop,2,0,1,NONE,RETURNING,SUCCESS
TX00199,8780,UPI,Bank_C,Desktop,5,0,1,NONE,RETURNING,SUCCESS
TX00200,19460,UPI,Bank_C,iOS,12,2,3,NETWORK_ERROR,NEW,SUCCESS
TX00201,18443,UPI,Bank_B,Android,4,0,1,BANK_ERROR,NEW,FAILED
TX00202,5859,UPI,Bank_C,Android,8,0,1,NONE,RETURNING,SUCCESS
TX00203,2485,NET_BANKING,Bank_B,Android,15,0,1,NONE,NEW,SUCCESS
TX00204,11211,UPI,Bank_C,Desktop,5,0,1,NONE,NEW,SUCCESS
TX00205,4836,CARD,Bank_C,Desktop,2,0,1,NONE,NEW,SUCCESS
TX00206,1902,UPI,Bank_A,Android,3,0,1,NONE,NEW,SUCCESS
TX00207,8255,CARD,Bank_C,Android,20,3,4,CARD_DECLINED,RETURNING,FAILED
TX00208,8220,NET_BANKING,Bank_D,Desktop,3,0,1,BANK_ERROR,RETURNING,SUCCESS
TX00209,6716,CARD,Bank_B,Desktop,18,0,1,NONE,RETURNING,SUCCESS
TX00210,14357,NET_BANKING,Bank_D,Android,8,0,1,NONE,NEW,SUCCESS
TX00211,14586,UPI,Bank_B,iOS,14,3,4,BANK_ERROR,NEW,FAILED
TX00212,16746,UPI,Bank_D,Android,8,0,1,NONE,NEW,FAILED
TX00213,14175,CARD,Bank_A,Android,11,0,1,NONE,NEW,FAILED
TX00214,9308,CARD,Bank_A,Desktop,4,2,3,AUTH_ERROR,RETURNING,FAILED
TX00215,16471,NET_BANKING,Bank_A,iOS,16,0,1,NONE,NEW,SUCCESS
TX00216,11935,UPI,Bank_D,Android,16,3,4,BANK_ERROR,RETURNING,FAILED
TX00217,13268,UPI,Bank_B,Android,13,0,1,NONE,NEW,SUCCESS
TX00218,2149,UPI,Bank_C,Desktop,6,0,1,NONE,NEW,FAILED
TX00219,5523,NET_BANKING,Bank_D,iOS,18,0,1,NONE,NEW,SUCCESS
TX00220,14689,NET_BANKING,Bank_A,Desktop,7,0,1,NONE,RETURNING,SUCCESS
TX00221,19592,CARD,Bank_B,Android,21,1,2,NONE,RETURNING,SUCCESS
TX00222,7258,UPI,Bank_C,Android,5,1,2,NONE,NEW,FAILED
TX00223,10348,CARD,Bank_B,iOS,5,1,2,NONE,NEW,SUCCESS
TX00224,7500,CARD,Bank_A,Desktop,5,3,4,NETWORK_ERROR,NEW,FAILED
TX00225,19654,UPI,Bank_C,Android,18,0,1,NONE,RETURNING,SUCCESS
TX00226,9974,CARD,Bank_B,iOS,21,2,3,AUTH_ERROR,RETURNING,FAILED
TX00227,15251,UPI,Bank_A,iOS,18,0,1,NONE,NEW,FAILED
TX00228,18739,UPI,Bank_A,Desktop,20,2,3,BANK_ERROR,RETURNING,FAILED
TX00229,1254,UPI,Bank_A,Android,16,0,1,NONE,RETURNING,SUCCESS
TX00230,4599,CARD,Bank_B,Android,1,0,1,CARD_DECLINED,RETURNING,FAILED
TX00231,6395,CARD,Bank_A,Android,1,0,1,NONE,RETURNING,SUCCESS
TX00232,12283,CARD,Bank_B,Android,11,1,2,NONE,RETURNING,SUCCESS
TX00233,12974,CARD,Bank_C,iOS,8,0,1,AUTH_ERROR,RETURNING,FAILED
TX00234,18132,UPI,Bank_D,Desktop,4,0,1,BANK_ERROR,NEW,FAILED
TX00235,5639,CARD,Bank_C,Android,16,3,4,CARD_DECLINED,RETURNING,FAILED
TX00236,9737,UPI,Bank_C,Desktop,17,0,1,NONE,RETURNING,SUCCESS
TX00237,15686,CARD,Bank_B,Android,21,0,1,NONE,NEW,SUCCESS
TX00238,2657,UPI,Bank_C,Android,5,0,1,NONE,RETURNING,SUCCESS
TX00239,5692,CARD,Bank_D,Android,17,2,3,NONE,NEW,FAILED
TX00240,16582,CARD,Bank_D,Desktop,18,0,1,NONE,RETURNING,SUCCESS
TX00241,2300,CARD,Bank_C,Android,19,0,1,CARD_DECLINED,NEW,SUCCESS
TX00242,14272,CARD,Bank_B,Android,15,1,2,NONE,NEW,SUCCESS
TX00243,3061,UPI,Bank_C,Android,12,0,1,NONE,RETURNING,SUCCESS
TX00244,14307,CARD,Bank_A,Desktop,16,1,2,CARD_DECLINED,RETURNING,FAILED
TX00245,12069,UPI,Bank_D,Desktop,9,0,1,NONE,RETURNING,FAILED
TX00246,2969,NET_BANKING,Bank_B,Android,14,0,1,NONE,NEW,SUCCESS
TX00247,17440,CARD,Bank_B,Android,17,0,1,AUTH_ERROR,NEW,SUCCESS
TX00248,14092,UPI,Bank_A,Desktop,6,0,1,NONE,RETURNING,SUCCESS
TX00249,5799,CARD,Bank_A,Desktop,5,1,2,NONE,RETURNING,FAILED
TX00250,4087,CARD,Bank_A,Desktop,15,0,1,NONE,RETURNING,SUCCESS
TX00251,13546,NET_BANKING,Bank_A,Desktop,20,1,2,NONE,NEW,FAILED
TX00252,1318,CARD,Bank_B,Android,7,3,4,AUTH_ERROR,RETURNING,FAILED
TX00253,4835,UPI,Bank_A,Desktop,2,0,1,NONE,RETURNING,SUCCESS
TX00254,11396,UPI,Bank_D,Desktop,14,0,1,BANK_ERROR,NEW,SUCCESS
TX00255,4655,UPI,Bank_B,Desktop,15,1,2,NONE,RETURNING,SUCCESS
TX00256,9246,CARD,Bank_B,Android,12,3,4,CARD_DECLINED,NEW,FAILED
TX00257,8150,CARD,Bank_B,iOS,7,0,1,NONE,NEW,SUCCESS
TX00258,12857,UPI,Bank_A,iOS,4,1,2,NETWORK_ERROR,RETURNING,SUCCESS
TX00259,19930,CARD,Bank_D,Desktop,10,0,1,NONE,RETURNING,SUCCESS
TX00260,17529,CARD,Bank_B,Android,8,2,3,NETWORK_ERROR,NEW,FAILED
TX00261,6993,UPI,Bank_A,Android,8,0,1,NONE,RETURNING,SUCCESS
TX00262,18177,UPI,Bank_A,Android,11,0,1,NONE,NEW,SUCCESS
TX00263,14473,UPI,Bank_B,iOS,6,0,1,NONE,NEW,SUCCESS
TX00264,14665,UPI,Bank_C,Android,2,0,1,NONE,RETURNING,SUCCESS
TX00265,3536,UPI,Bank_B,Android,3,1,2,NONE,RETURNING,SUCCESS
TX00266,8854,UPI,Bank_C,Android,14,1,2,NONE,RETURNING,FAILED
TX00267,10777,NET_BANKING,Bank_C,Desktop,5,1,2,BANK_ERROR,RETURNING,SUCCESS
TX00268,5995,UPI,Bank_C,Android,0,0,1,NONE,RETURNING,FAILED
TX00269,19838,UPI,Bank_B,Desktop,1,0,1,NONE,RETURNING,SUCCESS
TX00270,16709,UPI,Bank_C,iOS,21,2,3,BANK_ERROR,RETURNING,FAILED
TX00271,15736,UPI,Bank_A,Desktop,19,0,1,NONE,NEW,FAILED
TX00272,7122,UPI,Bank_B,Desktop,18,0,1,NONE,NEW,SUCCESS
TX00273,9251,UPI,Bank_A,Desktop,7,1,2,NONE,NEW,SUCCESS
TX00274,5700,CARD,Bank_A,Android,12,0,1,NONE,NEW,FAILED
TX00275,8096,CARD,Bank_C,Android,6,0,1,NONE,RETURNING,SUCCESS
TX00276,9107,UPI,Bank_C,Android,1,0,1,NONE,NEW,SUCCESS
TX00277,13046,CARD,Bank_A,Android,11,0,1,NONE,RETURNING,SUCCESS
TX00278,4742,UPI,Bank_A,iOS,3,0,1,BANK_ERROR,RETURNING,FAILED
TX00279,11412,UPI,Bank_D,Android,9,1,2,NONE,RETURNING,FAILED
TX00280,7779,CARD,Bank_B,Android,5,0,1,NETWORK_ERROR,NEW,FAILED
TX00281,8308,CARD,Bank_A,Android,1,1,2,NONE,RETURNING,FAILED
TX00282,18689,CARD,Bank_A,iOS,5,0,1,CARD_DECLINED,RETURNING,SUCCESS
TX00283,10816,UPI,Bank_C,Android,10,1,2,BANK_ERROR,RETURNING,SUCCESS
TX00284,17553,NET_BANKING,Bank_B,Android,19,0,1,NONE,RETURNING,SUCCESS
TX00285,3544,UPI,Bank_A,Android,10,1,2,BANK_ERROR,RETURNING,FAILED
TX00286,10857,UPI,Bank_C,Android,22,0,1,NONE,NEW,FAILED
TX00287,14534,UPI,Bank_B,iOS,8,0,1,NETWORK_ERROR,RETURNING,FAILED
TX00288,1160,CARD,Bank_C,Android,23,0,1,AUTH_ERROR,RETURNING,SUCCESS
TX00289,18811,CARD,Bank_D,Android,1,0,1,CARD_DECLINED,NEW,SUCCESS
TX00290,3520,UPI,Bank_A,Android,8,0,1,NONE,NEW,SUCCESS
TX00291,401,UPI,Bank_D,Desktop,23,0,1,NONE,NEW,SUCCESS
TX00292,12568,CARD,Bank_D,iOS,20,0,1,NETWORK_ERROR,RETURNING,FAILED
TX00293,17090,NET_BANKING,Bank_B,Android,15,1,2,NONE,RETURNING,FAILED
TX00294,19654,UPI,Bank_D,Android,14,1,2,AUTH_ERROR,NEW,SUCCESS
TX00295,799,CARD,Bank_C,iOS,5,0,1,NONE,NEW,FAILED
TX00296,290,UPI,Bank_D,Android,15,0,1,NONE,RETURNING,SUCCESS
TX00297,10592,CARD,Bank_C,iOS,10,0,1,NONE,RETURNING,FAILED
TX00298,17464,UPI,Bank_A,Android,12,0,1,NONE,NEW,SUCCESS
TX00299,3075,UPI,Bank_C,Android,13,0,1,NONE,RETURNING,SUCCESS
TX00300,6202,CARD,Bank_A,Android,8,0,1,NONE,NEW,SUCCESS
TX00301,17668,NET_BANKING,Bank_A,Desktop,2,0,1,NETWORK_ERROR,RETURNING,SUCCESS
TX00302,19811,UPI,Bank_C,Android,6,2,3,BANK_ERROR,RETURNING,FAILED
TX00303,19878,UPI,Bank_D,Android,19,2,3,BANK_ERROR,RETURNING,FAILED
TX00304,1916,UPI,Bank_C,Desktop,19,3,4,BANK_ERROR,NEW,FAILED
TX00305,669,UPI,Bank_C,iOS,22,1,2,BANK_ERROR,RETURNING,FAILED
TX00306,5542,CARD,Bank_A,Android,21,0,1,NONE,RETURNING,SUCCESS
